Year,Month,Day,Cloudiness,Greenness,Estimated Usability,Area Estimate,Top Right Latitude,Top Right Longitude,Bottom Left Latitude,Bottom Left Longitude,URL
2024,7,8,None,High,High,854,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2024-07-08T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057651379"
2023,7,23,None,High,High,864,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2023-07-23T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057918238"
2022,7,24,None,High,High,830,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2022-07-24T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763057979140"
2021,7,1,None,Medium-High,Medium-High,836,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2021-07-01T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058349744"
2020,7,27,None,High,High,804,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2020-07-27T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058514315"
2019,7,23,None,High,High,797,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2019-07-23T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058630718"
2018,7,16,None,High,High,786,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2018-07-16T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763058814803"
2017,7,5,None,High,High,802,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2017-07-05T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059025279"
2016,7,29,None,High,High,768,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2016-07-29T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059160696"
2015,7,9,None,High,High,779,51.3769,-113.7319,50.7726,-114.3362,"https://wvs.earthdata.nasa.gov/api/v1/snapshot?REQUEST=GetSnapshot&TIME=2015-07-09T00:00:00Z&BBOX=50.7726,-114.3362,51.3769,-113.7319&CRS=EPSG:4326&LAYERS=MODIS_Terra_CorrectedReflectance_TrueColor,Coastlines_15m&WRAP=day,x&FORMAT=image/jpeg&WIDTH=275&HEIGHT=275&colormaps=,&ts=1763059392664"
